Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,Wii Sports,28,2006,12,360,41.49,29.02,3.77,8.46,82.74
2,Super Mario Bros.,13,1985,5,360,29.08,3.58,6.81,0.77,40.24
3,Mario Kart Wii,28,2008,7,360,15.85,12.88,3.79,3.31,35.82
4,Wii Sports Resort,28,2009,12,360,15.75,11.01,3.28,2.96,33.0
5,Pokemon Red/Pokemon Blue,7,1996,8,360,11.27,8.89,10.22,1.0,31.37
6,Tetris,7,1989,6,360,23.2,2.26,4.22,0.58,30.26
7,New Super Mario Bros.,6,2006,5,360,11.38,9.23,6.5,2.9,30.01
8,Wii Play,28,2006,4,360,14.03,9.2,2.93,2.85,29.02
9,New Super Mario Bros. Wii,28,2009,5,360,14.59,7.06,4.7,2.26,28.62
10,Duck Hunt,13,1984,9,360,26.93,0.63,0.28,0.47,28.31
11,Nintendogs,6,2005,10,360,9.07,11.0,1.93,2.75,24.76
12,Mario Kart DS,6,2005,7,360,9.81,7.57,4.13,1.92,23.42
13,Pokemon Gold/Pokemon Silver,7,1999,8,360,9.0,6.18,7.2,0.71,23.1
14,Wii Fit,28,2007,12,360,8.94,8.03,3.6,2.15,22.72
15,Wii Fit Plus,28,2009,12,360,9.09,8.59,2.53,1.79,22.0
16,Kinect Adventures!,30,2010,4,324,14.97,4.94,0.24,1.67,21.82
17,Grand Theft Auto V,19,2013,0,495,7.01,9.27,0.97,4.14,21.4
18,Grand Theft Auto: San Andreas,18,2004,0,495,9.43,0.4,0.41,10.57,20.81
19,Super Mario World,25,1990,5,360,12.78,3.75,3.54,0.55,20.61
20,Brain Age: Train Your Brain in Minutes a Day,6,2005,4,360,4.75,9.26,4.16,2.05,20.22
21,Pokemon Diamond/Pokemon Pearl,6,2006,8,360,6.42,4.52,6.04,1.37,18.36
22,Super Mario Land,7,1989,5,360,10.83,2.71,4.18,0.42,18.14
23,Super Mario Bros. 3,13,1988,5,360,9.54,3.44,3.84,0.46,17.28
24,Grand Theft Auto V,30,2013,0,495,9.63,5.31,0.06,1.38,16.38
25,Grand Theft Auto: Vice City,18,2002,0,495,8.41,5.49,0.47,1.78,16.15
26,Pokemon Ruby/Pokemon Sapphire,8,2002,8,360,6.06,3.9,5.38,0.5,15.85
27,Pokemon Black/Pokemon White,6,2010,8,360,5.57,3.28,5.65,0.82,15.32
28,Brain Age 2: More Training in Minutes a Day,6,2005,6,360,3.44,5.36,5.32,1.18,15.3
29,Gran Turismo 3: A-Spec,18,2001,7,457,6.85,5.09,1.87,1.16,14.98
30,Call of Duty: Modern Warfare 3,30,2011,9,22,9.03,4.28,0.13,1.32,14.76
31,Pok?mon Yellow: Special Pikachu Edition,7,1998,8,360,5.89,5.04,3.12,0.59,14.64
32,Call of Duty: Black Ops,30,2010,9,22,9.67,3.73,0.11,1.13,14.64
33,Pokemon X/Pokemon Y,4,2013,8,360,5.17,4.05,4.34,0.79,14.35
34,Call of Duty: Black Ops 3,20,2015,9,22,5.77,5.81,0.35,2.31,14.24
35,Call of Duty: Black Ops II,19,2012,9,22,4.99,5.88,0.65,2.52,14.03
36,Call of Duty: Black Ops II,30,2012,9,22,8.25,4.3,0.07,1.12,13.73
37,Call of Duty: Modern Warfare 2,30,2009,9,22,8.52,3.63,0.08,1.29,13.51
38,Call of Duty: Modern Warfare 3,19,2011,9,22,5.54,5.82,0.49,1.62,13.46
39,Grand Theft Auto III,18,2001,0,495,6.99,4.51,0.3,1.3,13.1
40,Super Smash Bros. Brawl,28,2008,2,360,6.75,2.61,2.66,1.02,13.04
41,Call of Duty: Black Ops,19,2010,9,22,5.98,4.44,0.48,1.83,12.73
42,Animal Crossing: Wild World,6,2005,10,360,2.55,3.52,5.33,0.88,12.27
43,Mario Kart 7,4,2011,7,360,4.74,3.91,2.67,0.89,12.21
44,Halo 3,30,2007,9,324,7.97,2.83,0.13,1.21,12.14
45,Grand Theft Auto V,20,2014,0,495,3.8,5.81,0.36,2.02,11.98
46,Pokemon HeartGold/Pokemon SoulSilver,6,2009,0,360,4.4,2.77,3.96,0.77,11.9
47,Super Mario 64,12,1996,5,360,6.91,2.85,1.91,0.23,11.89
48,Gran Turismo 4,18,2004,7,457,3.01,0.01,1.1,7.53,11.66
49,Super Mario Galaxy,28,2007,5,360,6.16,3.4,1.2,0.76,11.52
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,4,2014,8,360,4.23,3.37,3.08,0.65,11.33
51,Super Mario Land 2: 6 Golden Coins,7,1992,1,360,6.16,2.04,2.69,0.29,11.18
52,Grand Theft Auto IV,30,2008,0,495,6.76,3.1,0.14,1.03,11.02
53,Gran Turismo,17,1997,7,457,4.02,3.87,2.54,0.52,10.95
54,Super Mario 3D Land,4,2011,5,360,4.89,2.99,2.13,0.78,10.79
55,Gran Turismo 5,19,2010,7,457,2.96,4.88,0.81,2.12,10.77
56,Call of Duty: Modern Warfare 2,19,2009,9,22,4.99,3.69,0.38,1.63,10.69
57,Grand Theft Auto IV,19,2008,0,495,4.76,3.76,0.44,1.62,10.57
58,Super Mario All-Stars,25,1993,5,360,5.99,2.15,2.12,0.29,10.55
59,Pokemon FireRed/Pokemon LeafGreen,8,2004,8,360,4.34,2.65,3.15,0.35,10.49
60,Super Mario 64,6,2004,5,360,5.08,3.11,1.25,0.98,10.42
61,Just Dance 3,28,2011,4,526,6.05,3.15,0.0,1.07,10.26
62,Call of Duty: Ghosts,30,2013,9,22,6.72,2.63,0.04,0.82,10.21
63,Halo: Reach,30,2010,9,324,7.03,1.98,0.08,0.78,9.88
64,Mario Kart 64,12,1996,7,360,5.55,1.94,2.23,0.15,9.87
65,New Super Mario Bros. 2,4,2012,5,360,3.66,3.07,2.47,0.63,9.82
66,Halo 4,30,2012,9,324,6.63,2.36,0.04,0.73,9.76
67,Final Fantasy VII,17,1997,8,457,3.01,2.47,3.28,0.96,9.72
68,Call of Duty: Ghosts,19,2013,9,22,4.09,3.73,0.38,1.38,9.59
69,Just Dance 2,28,2010,4,526,5.84,2.89,0.01,0.78,9.52
70,Gran Turismo 2,17,1999,7,457,3.88,3.42,1.69,0.5,9.49
71,Call of Duty 4: Modern Warfare,30,2007,9,22,5.91,2.38,0.13,0.9,9.32
72,Donkey Kong Country,25,1994,5,360,4.36,1.71,3.0,0.23,9.3
73,Minecraft,30,2013,4,324,5.58,2.83,0.02,0.77,9.2
